V1,V2,weight
1,3,2
1,7,5
1,10,7785
1,11,17458
1,12,602
1,16,403
1,17,2934
1,23,76
1,25,197
1,28,2
1,32,2890
1,33,2
1,36,14
1,37,7
1,38,1
1,40,3
1,42,2
1,43,22
1,44,14
1,46,7
1,47,234
1,50,2166
1,52,4
1,53,112
1,54,2
1,57,16
1,58,1
1,59,7
1,60,1406
1,61,4397
1,64,3
1,65,30026
1,67,5223
1,75,942
1,76,12
1,77,10196
1,78,2890
1,79,951142
1,80,9
1,81,182
1,83,12203
1,85,40
1,86,8
1,87,644
1,88,3
1,90,258
1,91,36
1,92,20
1,96,199
1,97,37
1,98,1
1,100,173
1,104,2
1,107,3
1,109,1
1,110,1
1,113,41
1,114,69
1,115,5803
1,116,38
1,119,5
1,120,5684
1,122,1560592
1,123,1
1,124,27
1,127,5
1,128,93
1,129,11
1,131,32
1,132,17
1,133,141
1,134,945
1,135,1
1,143,279
1,144,22
1,147,10
1,149,194
1,150,124
1,151,6
1,154,13064
1,155,4686
1,156,1213
1,157,1950
1,158,16
1,159,1
1,164,3846
1,165,18
1,168,1520
1,170,9354
1,172,1361
1,174,106
1,176,4
1,179,1
2,7,20
2,10,66
2,11,106
2,17,484
2,32,1243
2,47,6
2,50,20
2,53,6
2,60,4
2,61,2911
2,65,472
2,67,143
2,75,2
2,76,3
2,81,75
2,83,356
2,97,75
2,104,4
2,115,13
2,116,1
2,120,15
2,129,2
2,144,1
2,149,2
2,154,297
2,155,64
2,170,1823
2,172,2194
3,4,1
3,7,34
3,10,12
3,11,52
3,17,47
3,21,1
3,22,1
3,23,7
3,25,2
3,31,2
3,32,355
3,46,8
3,47,1
3,50,9
3,55,1
3,57,2
3,60,20
3,61,1384
3,65,289
3,67,33
3,75,16
3,81,188
3,83,146
3,86,2
3,93,1
3,94,1
3,95,4
3,100,2
3,104,1
3,109,1
3,115,26
3,116,6
3,120,20
3,122,22
3,128,4
3,131,5
3,133,5
3,139,9
3,143,2
3,147,4
3,149,38
3,151,1
3,154,61
3,155,158
3,156,8
3,163,13
3,164,3
3,168,1
3,170,334
3,172,145
3,178,1
4,7,14
4,10,2
4,11,121
4,17,100
4,20,1
4,22,2
4,23,1083
4,28,5
4,31,12
4,32,226
4,34,15
4,40,2
4,41,303
4,47,19
4,49,561
4,50,2
4,53,2
4,60,157
4,61,3349
4,62,3
4,65,796
4,67,3
4,70,1
4,75,5
4,77,1
4,81,249
4,83,40
4,97,15
4,99,1
4,103,1
4,104,3
4,109,2
4,110,3
4,115,183
4,120,58
4,129,2
4,131,3
4,132,1
4,133,2
4,134,9
4,135,5
4,139,1
4,147,3042
4,149,12
